音訊: POC_18_20250814 112112_7.申訴1.車險.wav
分類: 車險
意圖: 申訴
處理時間: 2025-10-15 16:05:03
摘要: 客戶詢問車險理賠進度，提到強制險，並對理賠專員的處理速度表示不滿，希望能聯繫主管進行申訴。
============================================================

[00:00] 客服: 富邦您好，敝姓劉。很高興為您服務。
[00:06] 客服: 喂，富邦您好，敝姓劉。很高興為您服務。
[00:11] 客戶: 呃，那個什麼，我想要了解我的履歷紀錄。
[00:14] 客服: 嗯，請教一下，我們要諮詢車險還是個人保險的履歷呢？
[00:18] 客戶: 車險。
[00:19] 客服: 車險，那有車牌號碼方便提供一下嗎？
[00:23] 客戶: 呃，我的不是車牌號碼，我是被碰撞，然後後來我...
[00:27] 客戶: 那個詢問我的履歷紀錄。
[00:30] 客服: 呃，所以對方保富邦，對嗎？
[00:32] 客戶: 對。
[00:33] 客服: 呃，那您有對方的車號碼還是...?
[00:37] 客戶: 我有我的那個...你們那個什麼資料？
[00:40] 客戶: 那個...
[00:40] 客服: 你說案號嗎？
[00:42] 客戶: 對，案號。
[00:43] 客服: 哦，好，那案號是...?
[00:45] 客戶: 呃，二一...等一下，片子怎麼不見了？
[00:48] 客服: 好。
[00:53] 客戶: 有別的方式查碼，我的車牌。
[00:56] 客服: OK，那您的車牌是...?
[00:59] 客戶: 天啊，我忘記問過車牌。
[01:04] 客戶: 因為我是騎別人的車子碰撞的。
[01:07] 客戶: 等一下，五月多...六月...
[01:10] 客服: 那...還是手機號碼？
[01:14] 客戶: 哦，0913。
[01:16] 客服: 嗯，0914黑呢？
[01:17] 客戶: 嗯，524。
[01:20] 客戶: 查到了，我的案號。
[01:21] 客服: 哦，好。
[01:23] 客戶: 二一二二三。
[01:26] 客服: 二一二二三黑。
[01:28] 客戶: C,B。
[01:30] 客服: 呃，C，然後AB的B嗎？
[01:32] 客戶: 對，C,B，對。
[01:34] 客戶: 然後，01004。
[01:37] 客服: 呃，稍等一下哦，好。
[01:39] 客服: 好。
[01:59] 客服: 不好意思，讓您久等了。
[02:00] 客服: 好，呃，請問一下貴姓怎麼稱呼您？
[02:03] 客戶: 張穎軒。
[02:04] 客服: 好，呃，張小姐，所以是2023年的事故嗎？
[02:08] 客戶: 對，7月11號。
[02:11] 客服: 哦，好。
[02:12] 客服: 那張小姐，因為我們這邊只能查承辦人員哦，
[02:15] 客服: 那您是要諮詢理賠進度嗎？
[02:18] 客戶: 對。
[02:19] 客服: 嗯，那有...方便留聯...
[02:21] 客戶: 哦，不好意思，剛剛已經留電話。
[02:23] 客服: 我們這邊幫您通知請專員跟你對一下券，
[02:25] 客服: 他這邊目前處理狀況好嗎？
[02:28] 客戶: 呃，我先說一下，
[02:30] 客戶: 哦，怎麼稱呼您，不好意思，怎麼稱呼您？
[02:31] 客戶: 我姓劉，我也是張小姐。
[02:32] 客服: 劉小姐，您好。
[02:34] 客戶: 我這個案件，你看，他已經兩年多了。
[02:37] 客戶: 然後，其實我當中，我已經想要那個...
[02:37] 客戶: 申訴這個人了，
[02:41] 客戶: 好，理賠專員，黃先生。
[02:42] 客戶: 那至今到現在，他也還沒有...
[02:44] 客戶: 我已經把資料全部送上去了。
[02:45] 客戶: 已經一個多月了。
[02:47] 客服: 好。
[02:49] 客戶: 那你們的理賠金有要這麼久嗎？
[02:51] 客戶: 通常會多久？
[02:52] 客服: 呃，所以是強制險嗎？
[02:53] 客戶: 我可以問一下專員嗎？
[02:55] 客服: 呃，原則上...
[02:57] 客戶: 強制險？
[02:58] 客戶: 我不知道對方是什麼險，
[03:00] 客戶: 他應該是...他不是只有強制險。
[03:02] 客戶: 但是，但是這個東西...
[03:03] 客戶: 對，這個東西，因為是對方保。
[03:05] 客戶: 對，然後後來，那這個東西，
[03:08] 客戶: 我已經把資料全部，他們要的東西，
[03:09] 客戶: 我已經交出去了。
[03:12] 客戶: 然後，那你們這樣理賠，
[03:14] 客戶: 呃，這個金額會是什麼時候下來？
[03:17] 客戶: 你們注意...
[03:18] 客服: 我了解，但張小姐，因為車險的部分，
[03:20] 客服: 的確他不會有一個固定的時間點。
[03:24] 客服: 如果一般來說，他也是依理賠單位那邊，
[03:25] 客服: 去做認定文件齊全，
[03:28] 客服: 那去做後續的計算15個工作天。
[03:31] 客戶: 對，我知道15個。
[03:34] 客戶: 但是你也是要他這邊去認定文件是齊全的。
[03:36] 客戶: 但是是他認定，他叫我繳交資料，
[03:39] 客戶: 所以是他已經認定了耶。
[03:40] 客戶: 是他叫我繳交資料耶。
[03:44] 客戶: 我們在不知情的情況下是詢問，
[03:47] 客戶: 我需要什麼資料，那我就提供。
[03:49] 客戶: 我們在不知情的情況下是詢問，我需要什麼資料，那我都提供，提供完了，那他也收到了，然後後來還跟我講說大概什麼時候會收到這個資料，這個錢，對，已經過了，過了之後後來再過了，我也沒有馬上去問，但是到現在我又再詢問，然後也沒有給我一個下文，我沒有要再透過那個人跟我回覆了，還是你請他的直屬上司，然後打電話跟我聯絡，他的直屬上司。
[03:51] 客服: 嗯，沒問題，我們幫您通知主管單位做回覆，那所以說電話就是0913這一次對嗎？
[03:54] 客戶: 對，對，那如果說你們的，嗯，你要請他上次跟我聯絡嘛，對不對？因為之前他也上次也跟我聯絡他們的上級主管，對，那我想請問這邊要申訴的那個案件有沒有可以這個管道？我們來電就直接幫您用申訴的部分去通報，就是這樣子而已，沒有，我是說專人就是用申訴，專人的意思，因為專人，因為，因為，呃，我，我，我們以
[03:55] 客戶: 都是消費者來
[04:23] 客戶: 角度來說，他這個態度已經非常消遣
[04:53] 客戶: 很不積極，你知道嗎？很消遣
[04:55] 客戶: 對，那已經過了那麼久了
[04:58] 客戶: 然後變成我都要追他，都要追這個人
[05:01] 客戶: 黃姓業務員
[05:03] 客戶: 對，然後後來我自己身邊也有事情
[05:05] 客戶: 我還要帶小朋友
[05:06] 客戶: 都是我不斷的在追他
[05:09] 客戶: 那追到後面後來還是敢敢透過別人
[05:10] 客戶: 因為我在花蓮
[05:11] 客戶: 透過花蓮這邊的單位，然後跟他做聯絡
[05:14] 客戶: 然後明明我就有對方的Line
[05:16] 客戶: 我也Line他，他也沒有已讀
[05:18] 客戶: 對
[05:20] 客戶: 然後後來都經過主管之後
[05:22] 客戶: 他才跟我聯絡的
[05:22] 客戶: 那這是怎麼樣？
[05:24] 客戶: 對啊，你懂我的意思嗎？
[05:25] 客戶: 我們一樣如果都是消費者
[05:26] 客戶: 你接觸到這樣你會開心嗎？
[05:27] 客戶: 對，他態度很消極耶
[05:29] 客戶: 所以我想要分數他
[05:30] 客戶: 但是你們有看我的管道嗎？
[05:32] 客戶: 我怎麼好像被踢皮球一樣
[05:34] 客戶: 我已經很不開心了
[05:35] 客戶: 我已經到最後階段
[05:37] 客戶: 我不想要跟他有做任何交集
[05:39] 客戶: 可是他到後面
[05:41] 客戶: 我資料都交出去一個多月了耶
[05:43] 客戶: 我想說這事情就算了
[05:44] 客戶: 他那麼消極態度已經過了要兩年了
[05:46] 客戶: 才真的就兩年
[05:48] 客戶: 兩年後還是這個樣子
[05:51] 客戶: 對，他這個態度
[05:52] 客戶: 真的是在你們這邊任職，你們需要這樣的人嗎？
[05:53] 客戶: 很糟糕欸！
[05:55] 客戶: 破壞你們的名譽欸！
[05:57] 客戶: 我其實東西後面還有東西要保，我覺得富邦產險這東西我也覺得我怕欸！
[05:58] 客戶: 太太太太傲慢了，真的！
[05:59] 客戶: 所以我想要做一個申訴，我覺得這個員工不值得再為你們公司服務欸！
[06:04] 客服: 那我跟妳說，我們來電的部分，我們客服中心這次一幫您申訴的部分，進行通報。
