音檔: POC_5_20250612 191410_2.理賠服務1.車險.wav
分類: 車險
處理時間: 2025-10-02 17:58:58
摘要: 客戶詢問有關強制險的理賠程序，客服解釋受傷人可自行申請醫療費用，並提供所需資料。
============================================================

[00:00] 客服: 晚安,歡迎使用富邦產險AI智慧客服系統。提醒您,為遵循個人資料保護法規範,及保障雙方權益。本電話將進行全程錄音,請直接說出您要辦理的業務。
[00:16] 客服: 強制選。
[00:19] 客服: 好的,為了更精確了解您的需求,請問您是要問更改通訊資料,查詢保單效期,補發電子保單,其他問題,還是電動車問題?
[00:32] 客服: 其他問題。
[00:34] 客服: 請用按鍵,輸入被保險人身份證號後九碼。輸入完畢,請按請自鑑。
[00:46] 客戶: 若您身份證字號第一碼為F,請按1,F,請按2。
[00:54] 客服: 您的身份證字號是F13529,請說出正確或錯誤。
[01:01] 客服: 正確。
[01:03] 客服: 請說出您的車牌號碼。
[01:10] 客服: NLQ。
[01:12] 客服: 為您服務,請您稍後,謝謝。
[01:20] 客服: 福邦您好,北京簡報是為您服務。
[01:24] 客戶: 你好,我之前有發生車禍,然後我要讓對方請我的強制選,來去做離婚。
[01:32] 客戶: 是。
[01:34] 客服: 請問您貴姓?
[01:36] 客戶: 我姓卓,卓越的卓。
[01:37] 客服: 卓越您好,首先這邊的話,如果對方受傷要自行申請,可以受傷人帶受傷人的身份證印章,醫療收據,診斷證明書,帳戶銀版,直接做申請就可以了。
[01:53] 客服: 譬如您保護邦,那對方保護邦就是到福邦來申請這個他自己的醫療費獎。
[01:59] 客服: 哦,對,沒有,他是要申請我這邊的,就是我,我是保護邦,所以他要來我這邊申請。
[02:04] 客服: 受傷人的對方就是您,您就是保護邦,所以到福邦來申請,這樣對嗎?
[02:10] 客服: 對對對。
[02:12] 客戶: 所以我是要先,所以我是要先知會你們說他的身份證跟他的車牌跟他的電話,不用。
[02:21] 客服: 他可以帶他自己受傷人的資料來跟我們申請就可以了。
[02:27] 客服: 哦,就是不用知會你們對不對?
[02:29] 客服: 可以不用,您要先申請就是您帶資料來申請,如果您要請受傷人自行帶資料來申請就是他來申請就可以了。
[02:38] 客服: OK,沒問題,OK,好,我知道了,因為我們那邊去差界委員會,差界委員會說要先跟你們知會,既然不用我就跟那個車主講清楚。
[02:48] 客服: 可以受傷人自行申請,也可以您先申請後續再立案,也可以。
[02:53] 客服: OK,好,麻煩您,謝謝,那我知道了,謝謝哦,麻煩您。
[02:58] 客服: 好,謝謝,拜拜。
[03:00] 客服: 拜拜。
