音檔: POC_17_20250729 144932_6.保單查詢4.傷害健康保險.wav
分類: 其他
處理時間: 2025-10-02 18:00:19
摘要: 客戶詢問產前保單的扣款問題，提到信用卡過期需更新，客服確認保單狀態並建議聯繫業務員。
============================================================

[00:00] 客服: 佛邦產前你好
[00:02] 客服: 畢信和很高興為您服務
[00:04] 客服: 你好
[00:05] 客服: 你好
[00:06] 客服: 我這次在之前就是有收到那個
[00:09] 客戶: 就是我有一張產前的保單
[00:11] 客服: 然後他這邊
[00:12] 客服: 他這邊好像有說什麼
[00:14] 客服: 要換一個品項吧
[00:16] 客服: 然後因為我信用卡之前過期
[00:18] 客戶: 然後請業務幫我更新新的卡片
[00:21] 客戶: 但目前都沒有收到扣款通知
[00:24] 客服: 請問一下小姐您貴姓大名
[00:27] 客服: 我姓謝
[00:28] 客服: 謝小姐您好
[00:29] 客服: 你剛剛是有提到說
[00:30] 客服: 你的信用卡有異動
[00:31] 客服: 已經找服務人員幫你處理
[00:33] 客服: 但是你沒有看到他
[00:35] 客服: 告知您處理的進度是不是
[00:38] 客服: 他說有在處理中
[00:39] 客服: 但是因為原本寄來的單子
[00:41] 客服: 是說7月22號
[00:44] 客服: 7月22號好像會扣款
[00:46] 客服: 但目前還沒有收到扣款
[00:49] 客服: 你服務人員姓蔡嗎
[00:51] 客服: 對
[00:52] 客服: 那你有他的LINE
[00:53] 客服: 或者是他的聯絡電話嗎
[00:55] 客服: 有啊 因為這邊有請
[00:57] 客服: 他就說有作業中
[00:58] 客服: 我只是想問一下
[00:59] 客服: 就是如果真的沒有扣到的話
[01:01] 客服: 下一次會大概是什麼時候扣款
[01:05] 客戶: 沒有 我的意思是說
[01:06] 客服: 因為他幫你去跑流程
[01:08] 客服: 那那個流程大概多長
[01:10] 客服: 我這裡就看不到
[01:11] 客服: 因為那個是營業單位比較清楚
[01:14] 客服: 但是如果你的營業員
[01:15] 客服: 確定有在幫你做這件事
[01:17] 客服: 你可能就稍微等候一下
[01:19] 客服: 因為他們那邊營業單位
[01:21] 客服: 就是要幫你更改
[01:23] 客戶: 需要一點時間
[01:25] 客戶: 了解 因為我只是想確認
[01:27] 客戶: 因為我怕他扣款的時間
[01:30] 客戶: 就是我要算那個大概是價格
[01:32] 客戶: 會什麼時候扣款日期
[01:35] 客戶: 這你要問他了耶
[01:36] 客服: 我們就這邊沒有辦法知道
[01:38] 客服: 他會依據哪一天來做扣款日
[01:43] 客服: 所以就是如果依照正常流程
[01:45] 客服: 如果他
[01:46] 客服: 譬如說他這30天
[01:48] 客服: 7月22號沒有扣到的話
[01:50] 客服: 第二次
[01:51] 客服: 沒有 前七天他本來就要扣了
[01:54] 客服: 那扣了第二次是什麼時候扣
[01:56] 客服: 我不確定是不是當天7月22號扣第二次
[01:59] 客服: 那又扣不到的話是第幾次
[02:01] 客服: 那個可能就要請業務人員再跟你說
[02:05] 客服: 因為我說到的單子是寫7月22號
[02:07] 客服: 會扣第一次
[02:08] 客服: 但是後來就沒後續了
[02:10] 客服: 本來應該是往前七天
[02:13] 客服: 我們是往前七天
[02:15] 客服: 那你那邊可以
[02:17] 客服: 往前七天
[02:18] 客服: 但我收到的資本單子是寫說
[02:20] 客服: 續約的扣款是7月22號
[02:23] 客服: 對啊 那第一次我們是在
[02:25] 客服: 就是到期前七天是第一次
[02:28] 客服: 就要先扣了
[02:29] 客服: 然後如果他沒扣到就當天
[02:31] 客服: 當天沒扣到
[02:32] 客服: 他就會通知業務員了
[02:34] 客服: 也會通知您
[02:36] 客服: 他現在 因為他要去處理
[02:38] 客服: 他處理完的時間是什麼時候
[02:40] 客服: 我就看不到
[02:41] 客服: 所以可能要處理完之後
[02:42] 客服: 才知道是哪一天會再扣
[02:44] 客服: 但你那邊查到的這個保單
[02:46] 客服: 是不是已經過期了
[02:48] 客服: 因為我這邊自己查那個
[02:49] 客服: 存摺APP的系統
[02:51] 客服: 是沒有看到這張保單
[02:53] 客服: 那這張保單
[02:54] 客服: 是不是他有通知您說
[02:56] 客服: 他請您換約呢
[02:58] 客服: 有請我換約
[03:00] 客服: 然後那時候
[03:01] 客服: 我也沒有
[03:02] 客服: 我就是都
[03:03] 客服: 好像說原本是舊的時權的單吧
[03:06] 客服: 然後現在換新的
[03:07] 客服: 對啊 然後後來同時他有
[03:09] 客服: 給我一個資本檔
[03:11] 客服: 然後說信用卡異動的話
[03:13] 客服: 要填這個檔案
[03:14] 客服: 但是那時候我沒有異動
[03:15] 客服: 然後後續我發現我信用卡過期
[03:17] 客服: 所以我聯繫業務
[03:18] 客戶: 然後請他們幫我換新的信用卡
[03:20] 客服: 但是因為我後來又查詢
[03:22] 客服: 目前系統
[03:23] 客服: 這張保單是寫無效
[03:25] 客戶: 所以我想說
[03:26] 客戶: 你那邊看得到嗎
[03:27] 客戶: 我怕我自己看錯
[03:29] 客服: 我這邊沒辦法看
[03:31] 客服: 我這邊沒有權限可以看這個
[03:35] 客服: 所以你們查不到
[03:36] 客服: 就是保護目前的那個
[03:40] 客服: 因為這個已經交給營業員在做了
[03:43] 客服: 我們不會有權限可以看到這個
[03:47] 客服: 了解 所以就是你們
[03:48] 客服: 產品裡面看不到
[03:50] 客服: 我們目前的保單有沒有效
[03:52] 客服: 現在還沒有最新的出來
[03:54] 客服: 因為你已經請營業員
[03:56] 客服: 第一個原保單
[03:57] 客服: 他這邊已經換約
