音訊: POC_20_20250828 150522_7.申訴5.其他保險_mono.wav
分類: 其他
意圖: 諮詢問題
處理時間: 2025-10-15 19:40:28
摘要: 客戶詢問醫師責任險的理賠流程及律師合作情況，並表達對產險理賠進度的不滿。
============================================================

[00:00] 客服: 您好,敝姓周,很高興為您服務,您好。
[00:03] 客戶: 請問是周小姐嗎?
[00:04] 客戶: 呃,曹頭莊。
[00:06] 客服: 喔,莊喔,不好意思,莊小姐。
[00:07] 客戶: 呃,不會。
[00:08] 客戶: 你好,那個我想請問一下,
[00:10] 客戶: 因為富邦產險不是有那個醫療,就是那個叫醫師責任險?
[00:16] 客服: 呃,醫責險,對。
[00:17] 客戶: 醫師,對,醫責險。
[00:18] 客服: 是。
[00:19] 客戶: 醫責險來說,好像台北好像會有跟那個一些律師事務所在做合作嗎?
[00:25] 客服: 這個的話,您要投保還是還沒有,就是已經有投保還是還沒有投保?
[00:30] 客戶: 應該已經有在出現,可是因為應該是我是業務同仁,
[00:33] 客戶: 因為現在來說,我們之前有就是你們有合作律師嘛,
[00:38] 客戶: 那我們就是有在,我有在問理賠,有一個叫陳兆宏處理,
[00:44] 客戶: 然後因為我問他一些,他就說,就是我其實想要知道就是說,
[00:49] 客戶: 你們富邦產物是跟那個律師事務所在簽合作的時候是有哪一些的,
[00:56] 客戶: 就是要主動是要告訴你們理賠,因為他們現在是各做各的。
[01:01] 客服: 這個,這個,可是這個我們客服不會知道耶。
[01:06] 客戶: 那我要去哪裡詢問,因為我覺得產險來說,
[01:09] 客戶: 我上次才,我自己的見聞我才進保險局再申訴,就是還沒結束,
[01:15] 客戶: 可是我覺得富邦產險是說我現在,我是業務,
[01:18] 客戶: 可是現在客戶在發生出險的時候,我問理賠,
[01:22] 客戶: 理賠說那是律師自己要來跟他講,然後可是律師來說又是被保險的代理人,
[01:30] 客戶: 所以我不知道是說你們合作的關係是什麼,
[01:34] 客戶: 因為就是因為我們找這間律師,是因為富邦產物說你們投保醫責險,
[01:40] 客戶: 我們才去聘請這個律師,那我覺得應該說意願合作來說的話,
[01:46] 客戶: 是這個律師應該有一些會跟產險會去說,
[01:50] 客戶: 那我們的進度是你是不是如果要談以和解的時候,
[01:54] 客戶: 應該會理賠金融或什麼的,可是我剛問那個陳兆宏副理,
[02:00] 客戶: 他說那是他們,他們是獨,我們是獨立,就是律師跟他們是獨立的,
[02:05] 客戶: 他四項點應該要跟我們講,可是我覺得什麼叫四項點跟我們講,
[02:10] 客戶: 我不是很能理解,
[02:13] 客服: 那你有跟你的產險窗口確認一下這個事情嗎?
[02:18] 客戶: 產險窗口他也不知道,我問他核保,因為我剛問陳兆宏,
[02:22] 客戶: 他是說要問核保,然後可是我產險我從來沒有遇過核保,
[02:29] 客戶: 所以我現在其實來說我一直覺得產險,
[02:33] 客戶: 負擔產物很大,可是他要讓我不知道是我們的保護的權益跟我們的…
[02:42] 客服: 因為他如果說要找核保,因為核保沒有對外,
[02:47] 客服: 所以你必須要先透過你的產險窗口,把你的這個問題先跟他告知,
[02:54] 客戶: 可是告知來說他是一個承辦,可是重點是現在我們已經在進行理賠就是訴訟了,
[03:02] 客戶: 訴訟來說,今天客戶問我說現在已經在訴訟,
[03:06] 客戶: 那法官是建議再調解一次,那我就問理賠,那你們要出面嗎?
[03:12] 客戶: 他說他不要出面,他說律師出面就好,我說可是律師出面,
[03:17] 客戶: 還在理賠金,你們可以接受嗎?
[03:21] 客戶: 他說那律師要來告訴他,那律師如果不來告訴他,
[03:25] 客戶: 之後律師談了之後,那中間的理賠如果理賠不賠,我們要找誰?
[03:30] 客戶: 我們要找誰?
[04:10] 客服: 請提供身分證和信用卡末四碼。
[04:20] 客戶: 我們要找誰?
[05:25] 客服: 請提供身分證和信用卡末四碼。
