音訊: d6299435802e4cdc979122f77bb7f7bd.wav
分類: 其他
意圖: 諮詢問題
處理時間: 2025-10-15 22:32:24
摘要: 客戶詢問醫師責任險的理賠問題，並對律師事務所的合作及理賠進度表示困惑，希望能獲得更清楚的解釋。
============================================================

[00:00] 客服: 您好,敝姓周,很高興為您服務,您好。
[00:03] 客戶: 請問是周小姐嗎?
[00:04] 客服: 呃,曹頭莊。
[00:06] 客戶: 喔,莊喔,不好意思,莊小姐。
[00:07] 客服: 呃,不會,是。
[00:08] 客戶: 你好,那個我想請問一下,
[00:10] 客戶: 因為富邦產險不是有那個醫療,就是那個叫醫師責任險?
[00:16] 客服: 呃,醫責險,對。
[00:17] 客戶: 醫師,對,醫責險。
[00:18] 客服: 是。
[00:19] 客戶: 醫責險來說,好像台北好像會有跟那個一些律師事務所在做合作嗎?
[00:25] 客服: 這個的話,您要投保還是還沒有,就是已經有投保還是還沒有投保?
[00:30] 客戶: 應該已經有在出現,可是因為應該是我是業務同仁,
[00:34] 客戶: 因為現在來說,我們之前有就是你們有合作律師嘛,
[00:38] 客戶: 那我們就是有在,我有在問理賠,有一個叫陳兆宏處理,
[00:44] 客戶: 然後因為我問他一些,他就說,就是我其實想要知道就是說,
[00:50] 客戶: 你們富邦產物是跟那個律師事務所在簽合作的時候,
[00:55] 客戶: 是有哪一些的,就是要主動是要告訴你們理賠,
[00:59] 客戶: 因為他們現在是各做各的,就是說。
[01:02] 客服: 這個,這個,可是這個我們客服不會知道耶。
[01:06] 客戶: 那,那我要去哪裡詢問,因為我覺得產險來說,
[01:10] 客戶: 我上次才,我自己的見聞才進保險局再申訴,就是還沒結束,
[01:15] 客戶: 可是我覺得富邦產險是說,我現在,我是業務,
[01:19] 客戶: 可是現在客戶在發生出險的時候,
[01:22] 客戶: 我問理賠,理賠說,那是律師自己要來跟他講,
[01:26] 客戶: 然後,可是律師來說,又是被保險的代理人,
[01:31] 客戶: 所以我不知道是說,你們合作的關係是什麼,
[01:35] 客戶: 因為就是因為我們找這間律師,是因為富邦產物,
[01:38] 客戶: 說你們投保醫責險,會有客戶,我們才去聘請這個律師,
[01:44] 客戶: 那我覺得應該說,一夜合作來說的話,
[01:47] 客戶: 其實這個律師應該有一些會跟產險,
[01:50] 客戶: 會就是說,那我們的進度是你是不是,
[01:53] 客戶: 如果要談以和解的時候,應該會理賠金人或什麼的,
[01:57] 客戶: 可是我剛剛問那個陳兆宏,副理,
[02:01] 客戶: 他說那是他們,他們是獨,我們是獨立,
[02:03] 客戶: 就是律師跟他們是獨立的,他事項點應該要跟我們講,
[02:07] 客戶: 可是我覺得,什麼叫事項點跟我們講,
[02:10] 客戶: 我不是很能理解耶。
[02:13] 客服: 那你有跟你的產險窗口確認一下這個事情嗎?
[02:18] 客戶: 產險窗口他也不知道,我問他核保,
[02:21] 客戶: 因為我剛剛問陳兆宏,他是說要問核保,
[02:23] 客戶: 然後可是我產險,我從來沒有遇過核保,
[02:27] 客戶: 所以我現在其實來說,我一直覺得產險,
[02:33] 客戶: 產物,富邦產物很大,可是他讓我不知道是,
[02:37] 客戶: 我們的保護的權益跟我們的就是。
[02:42] 客服: 因為他如果說要找核保,因為核保沒有對外,
[02:47] 客服: 所以你必須要先透過你的產險窗口,
[02:50] 客服: 把你的這個問題先跟他告知。
[02:54] 客戶: 可是告知來說,他是一個承辦啊,
[02:57] 客戶: 可是重點是,現在我們已經在進行理賠,就是訴訟了,
[03:02] 客戶: 訴訟來說,今天跟我說,現在已經在訴訟,
[03:05] 客戶: 那法官是建議再調解一次,那我就問理賠嘛,
[03:10] 客戶: 那你們要出面嗎?他說他不要出面啊,
[03:14] 客戶: 他說律師出面就好,我說可是律師出面,
[03:17] 客戶: 談的理賠金,你們可以接受嗎?
[03:20] 客戶: 他說那律師要來告訴他,那律師如果不來告訴他,
[03:25] 客戶: 之後律師談了之後,那中間的理賠,
[03:27] 客戶: 如果理賠不賠,我們要找誰?客戶只會找業務耶。
[03:31] 客服: 那對,因為相對你剛剛問我們的這個問題,
[03:36] 客服: 你有沒有直接問這個理賠專員呢?然後他怎麼說呢?
[03:40] 客戶: 他就說我是獨立的啊,這不關我的事啊,
[03:43] 客戶: 所以我就說那你們好,不關你的事,
[03:47] 客戶: 我就說那富邦產物到底是哪一個窗口
[03:51] 客戶: 去跟那一間律師事務所簽約的?
[03:55] 客戶: 你們簽約一定會有一些條件是說,我們要怎麼樣合作嗎?
[04:00] 客戶: 那我現在問他們都在推耶,
[04:04] 客戶: 所以我不知道說客戶只會來找業務,
[04:05] 客戶: 我只知道說客戶只會來找我業務,因為沒有別的。
[04:07] 客服: 要不要我這一件先跟理賠人員先反映一下您有盡限,然後請他再跟您說明清楚呢?
[04:08] 客戶: 可是我覺得他說明不清楚耶,他一直都在這樣子。
[04:14] 客戶: 而且我剛剛就問他說,那你沒有問一下就是說我們中間要不要出庭,他說他不用。
[04:18] 客戶: 他就說那個律師事項一點會來跟我們,應該會來跟我們講說我們的理賠額度。
[04:25] 客戶: 然後我就說那你現在這一件我們走了一年兩年了,那你覺得這一件你們理賠會多,就是走到現在你們的額度是多少嗎?
[04:32] 客戶: 他說那是律師專業的要來跟我報告。
