音訊: POC_19_20250814 120627_6.保單查詢2.旅平險.wav
分類: 旅平險
意圖: 諮詢問題
處理時間: 2025-10-15 16:10:01
摘要: 客戶因颱風無法辦理產險會員，詢問旅平卡的優惠及辦理方式，客服解釋無法提供優惠，並建議客戶聯繫人壽業務辦理。
============================================================

[00:00] 客服: 富邦您好,敝姓劉,很高興為您服務。
[00:03] 客戶: 劉小姐,我想請問一下,我明天要出國,明天早上要出國。
[00:08] 客戶: 然後呢,我本來要在你們的網站辦那個,那個什麼,什麼會員啊,網路會員投保那個,
[00:18] 客戶: 結果你們好像是不能,因為颱風起,所以就不能辦嘛,對不對?
[00:25] 客服: 您說今天嗎?
[00:28] 客戶: 我本來昨天跟前天啊,我想辦你們產險的那個什麼會員啊,然後那個叫做什麼東西啊,
[00:38] 客戶: 好像我在富邦人壽那邊有什麼call in會員還是怎麼樣,
[00:43] 客戶: 所以我投保的話在網路,網路投保就很方便,
[00:48] 客戶: 啊我本來也想弄你們產險這部分,但是好像因為颱風的關係就沒有辦法辦啦,
[00:54] 客戶: 啊我現在就兩個問題啦,第一個我明天早上就要出國啦,
[00:59] 客戶: 那如果辦你們那個什麼會員的話,會來得及嗎?
[01:04] 客服: 所以您還沒有申辦過我們的快樂旅館卡?
[01:08] 客戶: 對,沒有。
[01:09] 客服: 那來不及喔,因為我們辦卡要七天喔。
[01:12] 客戶: 這樣子喔,那這樣子呢,能不能呢,你們給我,給我視同呢,
[01:20] 客戶: 因為我在人壽那邊已經有這個會員啦,你們能不能。
[01:23] 客服: 我們是不同公司耶。
[01:25] 客戶: 喔,不同公司喔?
[01:27] 客服: 對啊,產險跟人壽不同公司,所以沒辦法,他那邊有資料,我這邊就能報啊。
[01:32] 客戶: 喔,你也這樣,台灣人壽那麼多,去給一個富邦啊,我以為你是相關產業咧?
[01:40] 客服: 我們是金控,但是產險跟人壽是不一樣的公司啊。
[01:47] 客戶: 喔,這樣子喔,所以說,因為這一次颱風的問題,
[01:51] 客戶: 我們沒有辦法辦產險部分,所以我如果投保也沒有那個什麼優惠這樣喔?
[02:00] 客服: 聽不懂你的意思耶。
[02:03] 客戶: 我現在就是在說喔,可不可以。
[02:05] 客服: 因為你現在就是沒有辦,沒有那個會員資料,我們沒辦法幫你辦啦。
[02:09] 客戶: 這樣喔,那如果有的話,是優惠多少?
[02:15] 客服: 你說透過旅平卡投保嗎?
[02:18] 客戶: 對,對。
[02:19] 客服: 旅平卡大概八折多。
[02:21] 客戶: 八折多喔?
[02:22] 客服: 對。
[02:23] 客戶: 喔,這樣子喔,你們可不可以用這樣子的優惠給我承辦?
[02:29] 客服: 不行啊,這個電腦都有辦資料耶。
[02:33] 客戶: 這樣喔?
[02:34] 客服: 就像你的人壽辦空運卡一樣啊,你都要先提資料才能報啊,因為系統裡面要有你的資料啊。
[02:43] 客戶: 這樣喔,所以反正就是沒折就對了。
[02:46] 客服: 對,這沒辦法,抱歉。
[02:48] 客戶: 好,謝謝你。
[02:50] 客戶: 等一下,我如果要辦這個旅平卡的話,怎麼處理?
[02:56] 客服: 你可以找當初幫你辦空運卡那個業務。
[03:00] 客戶: 那是人壽耶,那是人壽的耶。
[03:03] 客服: 人壽他可以做產險的業務啊。
[03:06] 客戶: 喔,這樣喔?
[03:07] 客服: 對,你如果有實在的業務,他可以幫你用人壽這邊的。
[03:11] 客戶: 啊,我請問一下,我如果透過他辦旅平卡跟我直接找你們辦旅平卡有什麼不一樣?
[03:18] 客服: 他可以賺你的佣金啊。
[03:21] 客戶: 那佣金大概多少?
[03:23] 客服: 我沒有了解耶。
[03:25] 客戶: 這樣喔?
[03:26] 客服: 對啊。
[03:27] 客戶: 喔,這樣謝謝你,謝謝你。
[03:30] 客服: 對,謝謝。
[03:31] 客戶: 好,謝謝,好。
[03:32] 客服: 好,掰掰。
